chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
99.8,39.4,766,1660,M
117.0,40.7,906,1692,2XL
125.0,46.7,1028,1760,3XL
126.9,45.9,1260,1803,3XL
124.8,41.7,1157,1748,3XL
117.8,41.8,1001,1714,2XL
116.2,44.1,1052,1784,2XL
105.1,41.2,744,1659,L
128.5,44.1,1287,1777,3XL
116.6,43.8,1050,1885,2XL
137.4,45.3,1307,1763,3XL
111.7,42.9,953,1775,XL
91.7,39.8,781,1823,S
106.6,46.3,868,1816,XL
97.9,42.5,923,1886,M
91.9,36.3,646,1720,S
111.2,41.3,887,1730,XL
99.7,39.5,696,1747,M
91.0,37.4,584,1629,S
99.8,40.0,720,1656,M
105.8,41.7,914,1775,L
98.5,38.6,675,1629,M
104.4,39.7,752,1672,L
93.9,41.1,771,1896,S
97.4,40.4,712,1684,M
117.9,38.9,946,1747,XL
105.1,41.6,890,1744,L
131.3,44.3,1354,1883,3XL
116.2,42.5,1020,1837,2XL
92.8,38.7,646,1663,S
116.2,43.9,1030,1819,2XL
